version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 4,domains: science,,,,,,
,,,,,,,,,,,
Word,Domain,Grade,Grade 4 Frequency,,,,,,,,
electromagnet,science,4,33,,MC,5,A. To make an ____ you need to send a current through the wire. B. Lifting ____ is a kind of lifting gear.,scavenge,*electromagnet,stamen,neuron
organ,science,4,31,,MC,5,A. The eye is the ____ of sight. B. The eyes are an important ____ of balance.,sepal,meadow,*organ,pesticide
eclipse,science,4,28,,MC,5,A. One cloud is enough to ____ all the sun. B. On Wednesday there will be a total/partial ____ of the sun.,atom,accelerate,collide,*eclipse
moisture,science,4,21,,MC,5,A. The sun dries the ____ on the ground. B. The roots transmit ____ and nutrient to the trunk and branches.,vane,debris,slab,*moisture
humidity,science,4,18,,MC,5,A. The heat and ____ were insufferable. B. I don't like the ____ of this climate.,*humidity,citrus,pistil,tropism
radiation,science,4,18,,MC,5,"A. Patients receive high doses of ____ during cancer treatment. B. His treatment was a combination of surgery, ____ and drugs.",chloroplast,velocity,vacuum,*radiation
snowflake,science,4,18,,MC,5,A. A single ____ landed on her nose. B. They have as much chance as a ____ in hell.,bond,seismograph,deposition,*snowflake
generator,science,4,17,,MC,5,A. The hospital has a backup ____ in case there is a power failure. B. The US economy is still an impressive ____ of new jobs.,involuntary,inertia,*generator,jackrabbit
visible,science,4,17,,MC,5,A. The sea was plainly ____ in the distance. B. The house is clearly ____ from the beach.,*visible,acceleration,molecule,metallic
wavelength,science,4,17,,MC,5,A. Radio One has broadcast on this ____ for years. B. I don't know which ____ the station is on - is it on long wave?,*wavelength,nitrogen,lagoon,jackrabbit
pistil,science,4,16,,MC,5,"A. Many plants produce only unisexual flowers, which contain either no stamens or no ____. B. The ____ and the stamen of the flowers are the specialized organs responsible for the reproductive processes.",biologist,raindrop,ferry,*pistil
reaction,science,4,16,,MC,5,A. I was unsure of the ____ I would get. B. What was his ____ to this plan?,tropism,*reaction,aquifer,gravel
redwood,science,4,16,,MC,5,A. Have you ever visited a ____ forest? B. I've heard that many ____ trees are thousands of years old.,heredity,*redwood,deposition,gene
sponge,science,4,16,,MC,5,A. This ____ doesn't soak up water very well. B. Give it a ____ with a damp cloth - that will remove the blood stains.,hummingbird,electromagnetic,*sponge,tentacle
basin,science,4,15,,MC,5,A. The ____ favours the development of farming and animal husbandry. B. I've cleaned the ____ and scrubbed the bath.,terrace,*basin,ecology,heredity
convection,science,4,15,,MC,5,"A. These fires create ____ funnels, and throw a lot of particles into the upper atmosphere. B. Care should be exercised with ____ ovens to prevent solution ingress to the motor.",*convection,molecule,shoreline,electrician
attraction,science,4,14,,MC,5,A. Many toys have no ____ beyond their novelty value . B. She felt an immediate ____ for him.,basin,*attraction,elk,digestive
