version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 6-8,domains: science,,,,,,
,,,,,,,,,,,
Word,Domain,Grade,Grade 6-8 Frequency,,,,,,,,
periodic,science,"6,7,8",187,,MC,5,A. These arrangements are subject to ____ reviews. B. He makes ____ visits to all the shops which stock his products.,colon,monoxide,*periodic,inheritance
allele,science,"6,7,8",159,,MC,5,"A. A recessive ____ must be present in double copy to show itself, and all green peas have two green ____s. B. Consequently, unlike other tumour suppressor genes, only one ____ need be mutated to produce a phenotypic effect.",*allele,predation,inject,linkage
precision,science,"6,7,8",147,,MC,5,A. To minimize collateral damage maximum ____ in bombing was required. B. Her ____ became a standing joke with colleagues.,*precision,heartbeat,ovule,adolescence
terminal,science,"6,7,8",99,,MC,5,A. The ____ was constructed of reinforced concrete. B. The oil ____ is in the narrow strait that separates the island from the mainland.,crystalline,*terminal,forearm,rinse
radioactive,science,"6,7,8",93,,MC,5,A. The machine can accurately locate ____ material. B. People should keep away from the ____ waste.,*radioactive,femur,catfish,headland
vector,science,"6,7,8",92,,MC,5,A. One usually visualizes such a ____ simply as an arrow drawn on a plane or in a three-dimensional space. B. ClarisWorks also includes a ____ graphics and a communications package.,alkali,mountainside,hydra,*vector
valence,science,"6,7,8",90,,MC,5,A. Carbon has a ____ of four. B. In a pure semiconductor the ____ band is essentially filled and the higher conduction band essentially empty.,equinox,thaw,infancy,*valence
voltage,science,"6,7,8",90,,MC,5,A. Most house lighting runs at the full mains ____ of 24volts. B. A ____ is then applied across the cell electrodes.,antigen,pyroclastic,hairlike,*voltage
cancer,science,"6,7,8",89,,MC,5,"A. Our understanding of ____ remains imperfect. B. Since his ____ was diagnosed, he feels as if he's living on borrowed time.",*cancer,apparatus,silica,vitamin
reproductive,science,"6,7,8",83,,MC,5,A. Not all doctors truly understand the ____ cycle. B. The male ____ organs are exterior to the body.,*reproductive,splint,endocytosis,radon
homeostasis,science,"6,7,8",81,,MC,5,"A. That is, Gaian ____ originates in the local activity of individual organisms. B. Plants posses ____ mechanisms to minimize the damage from exposure to heavy metal stress.",*homeostasis,ginkgo,symbiotic,slate
vitamin,science,"6,7,8",77,,MC,5,A. The doctor said she should be taking ____ supplements. B. In the winter I take ____ C to ward off colds.,bromine,synthetic,pituitary,*vitamin
carbohydrate,science,"6,7,8",75,,MC,5,"A. Athletes usually eat a high ____ diet. B. After a workout, he has a ____ replacement drink, a diet fuel bar and 1more supplements.",*carbohydrate,thymus,waxy,radioactivity
component,science,"6,7,8",68,,MC,5,A. The researchers discovered a common ____ in all types of the organism. B. Enriched uranium is a key ____ of a nuclear weapon.,*component,canister,duct,pasture
