version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 1,"domains: general, science, math, social_studies",,,,,,
,,,,,,,,,,,
Word,Domain,Grade,Grade 1 Frequency,,//Question Type,//Points,//Question Text,//Answer Choice 1,//Answer Choice 2,//Answer Choice 3,//Answer Choice 4
dario,,,,,,,,,,,
wnsch,,,,,,,,,,,
gamer,,,,,,,,,,,
intelligenceprogram,,,,,,,,,,,
alphastar,,,,,,,,,,,
starcraft,,,,,,,,,,,
fleets,,,,,,,,,,,
vying,,,,,,,,,,,
fivematch,,,,,,,,,,,
alphastars,,,,,,,,,,,
creators,,,,,,,,,,,
londonbased,,,,,,,,,,,
deepmind,,,,,,,,,,,
werent,,,,,,,,,,,
hopeful,,,,,,,,,,,
seasoned,,,,,,,,,,,
onset,,,,,,,,,,,
didnt,,,,,,,,,,,
invade,,,,,,,,,,,
ais,,,,,,,,,,,
comeback,,,,,,,,,,,
wiped,,,,,,,,,,,
wnschs,,,,,,,,,,,
defenses,,,,,,,,,,,
shook,,,,,,,,,,,
crushed,,,,,,,,,,,
worldclass,,,,,,,,,,,
gamers,,,,,,,,,,,
bested,,,,,,,,,,,
realworld,,,,,,,,,,,
sebastian,,,,,,,,,,,
risi,,,,,,,,,,,
copenhagen,,,,,,,,,,,
inquiring,,,,,,,,,,,
robotic,,,,,,,,,,,
franciscobased,,,,,,,,,,,
openai,,,,,,,,,,,
simulate,,,,,,,,,,,
videogame,,,,,,,,,,,
minecraft,,,,,,,,,,,
distraction,,,,,,,,,,,
unwieldy,,,,,,,,,,,
jakob,,,,,,,,,,,
foerster,,,,,,,,,,,
hes,,,,,,,,,,,
facebook,,,,,,,,,,,
overseeing,,,,,,,,,,,
selfdriving,,,,,,,,,,,
coordinating,,,,,,,,,,,
jams,,,,,,,,,,,
multiagent,,,,,,,,,,,
shouting,,,,,,,,,,,
sidelines,,,,,,,,,,,
bigpicture,,,,,,,,,,,
surroundings,,,,,,,,,,,
reinforcement,,,,,,,,,,,
experiencein,,,,,,,,,,,
interacting,,,,,,,,,,,
teammate,,,,,,,,,,,
earns,,,,,,,,,,,
teammates,,,,,,,,,,,
defeats,,,,,,,,,,,
gamecontrolled,,,,,,,,,,,
coachguided,,,,,,,,,,,
loyal,,,,,,,,,,,
crews,,,,,,,,,,,
wont,,,,,,,,,,,
centralized,,,,,,,,,,,
foersters,,,,,,,,,,,
devised,,,,,,,,,,,
selfreliant,,,,,,,,,,,
simulates,,,,,,,,,,,
hinder,,,,,,,,,,,
sidelined,,,,,,,,,,,
pointers,,,,,,,,,,,
rehearsals,,,,,,,,,,,
onstage,,,,,,,,,,,
uncrewed,,,,,,,,,,,
overpower,,,,,,,,,,,
humanlike,,,,,,,,,,,
theyre,,,,,,,,,,,
adaptable,,,,,,,,,,,
legolike,,,,,,,,,,,
poses,,,,,,,,,,,
caiming,,,,,,,,,,,
xiong,,,,,,,,,,,
salesforce,,,,,,,,,,,
asoftware,,,,,,,,,,,
calif,,,,,,,,,,,
simpler,,,,,,,,,,,
quicker,,,,,,,,,,,
knowledgegathering,,,,,,,,,,,
adjusting,,,,,,,,,,,
xiongs,,,,,,,,,,,
struggled,,,,,,,,,,,
grabbed,,,,,,,,,,,
cutoff,,,,,,,,,,,
youre,,,,,,,,,,,
roboticist,,,,,,,,,,,
priyam,,,,,,,,,,,
parashar,,,,,,,,,,,
obstacles,,,,,,,,,,,
rearranged,,,,,,,,,,,
obstacle,,,,,,,,,,,
devises,,,,,,,,,,,
workarounds,,,,,,,,,,,
calculates,,,,,,,,,,,
afterward,,,,,,,,,,,
chooses,,,,,,,,,,,
parashars,,,,,,,,,,,
tworoom,,,,,,,,,,,
doorway,,,,,,,,,,,
shatter,,,,,,,,,,,
prashar,,,,,,,,,,,
admits,,,,,,,,,,,
bust,,,,,,,,,,,
decisionmaking,,,,,,,,,,,
testbeds,,,,,,,,,,,
overcooked,,,,,,,,,,,
teamcooking,,,,,,,,,,,
crowded,,,,,,,,,,,
togelius,,,,,,,,,,,
collaborating,,,,,,,,,,,
mimic,,,,,,,,,,,
cleverness,,,,,,,,,,,
simulated,,,,,,,,,,,
cannot,,,,,,,,,,,
ive,,,,,,,,,,,
modeled,,,,,,,,,,,
bridging,,,,,,,,,,,
gametrained,,,,,,,,,,,
