version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 2,domains: science
,,,
Word,Domain,Grade,Grade 2 Frequency
penguin,science,2,32
landform,science,2,28
mineral,science,2,27
dinosaur,science,2,24
tornado,science,2,21
hurricane,science,2,19
solar,science,2,19
adapt,science,2,18
orbit,science,2,18
trait,science,2,18
beak,science,2,17
oil,science,2,17
shark,science,2,17
zone,science,2,16
backbone,science,2,15
climate,science,2,15
vibrate,science,2,15
whale,science,2,15
amphibian,science,2,14
palm,science,2,14
rhythm,science,2,14
volcano,science,2,14
cactus,science,2,13
healthy,science,2,13
human,science,2,13
constellation,science,2,12
pollen,science,2,12
compound,science,2,11
oxygen,science,2,11
physical,science,2,11
compass,science,2,10
footprint,science,2,10
muscle,science,2,10
oral,science,2,10
precipitation,science,2,10
texture,science,2,10
condense,science,2,9
fuel,science,2,9
grasshopper,science,2,9
jellyfish,science,2,9
kilogram,science,2,9
larva,science,2,9
monitor,science,2,9
parrot,science,2,9
prey,science,2,9
telescope,science,2,9
beaver,science,2,8
burrow,science,2,8
decompose,science,2,8
extinct,science,2,8
loop,science,2,8
lung,science,2,8
particle,science,2,8
pollution,science,2,8
predator,science,2,8
tissue,science,2,8
wire,science,2,8
acorn,science,2,7
chipmunk,science,2,7
equator,science,2,7
friction,science,2,7
level,science,2,7
robin,science,2,7
satellite,science,2,7
bulb,science,2,6
coal,science,2,6
coyote,science,2,6
crust,science,2,6
current,science,2,6
electric,science,2,6
gill,science,2,6
hedgehog,science,2,6
herd,science,2,6
mentally,science,2,6
pupa,science,2,6
shuttle,science,2,6
silver,science,2,6
underground,science,2,6
boil,science,2,5
camouflage,science,2,5
conservation,science,2,5
coral,science,2,5
crater,science,2,5
earthquake,science,2,5
evaporation,science,2,5
fern,science,2,5
filter,science,2,5
glacier,science,2,5
grassland,science,2,5
hemisphere,science,2,5
hibernate,science,2,5
nymph,science,2,5
otter,science,2,5
ramp,science,2,5
tilt,science,2,5
vibration,science,2,5
woodland,science,2,5
zebra,science,2,5
astronomer,science,2,4
boulder,science,2,4
chemical,science,2,4
contraction,science,2,4
drought,science,2,4
humus,science,2,4
loam,science,2,4
loudness,science,2,4
manatee,science,2,4
paleontologist,science,2,4
pollute,science,2,4
powder,science,2,4
raccoon,science,2,4
reflection,science,2,4
skeleton,science,2,4
sprout,science,2,4
strand,science,2,4
substance,science,2,4
dye,science,2,3
environmental,science,2,3
polar,science,2,3
