version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 4,domains: science
,
Word,Domain,Grade,Grade 4 Frequency
electromagnet,science,4,33
organ,science,4,31
eclipse,science,4,28
moisture,science,4,21
humidity,science,4,18
radiation,science,4,18
snowflake,science,4,18
generator,science,4,17
visible,science,4,17
wavelength,science,4,17
pistil,science,4,16
reaction,science,4,16
redwood,science,4,16
sponge,science,4,16
basin,science,4,15
convection,science,4,15
attraction,science,4,14
conduction,science,4,14
deposition,science,4,14
static,science,4,14
acid,science,4,13
antarctic,science,4,13
downhill,science,4,13
fungi,science,4,13
jungle,science,4,13
lunar,science,4,13
marine,science,4,13
quartz,science,4,13
velocity,science,4,13
elk,science,4,12
rust,science,4,12
electronic,science,4,11
salamander,science,4,11
stamen,science,4,11
universe,science,4,11
accelerate,science,4,10
acceleration,science,4,10
atom,science,4,10
biologist,science,4,10
biome,science,4,10
gene,science,4,10
luster,science,4,10
barge,science,4,9
citrus,science,4,9
geyser,science,4,9
ridge,science,4,9
skeletal,science,4,9
appliance,science,4,8
arthropod,science,4,8
digestive,science,4,8
dwarf,science,4,8
genus,science,4,8
gravel,science,4,8
shaft,science,4,8
soybean,science,4,8
spectrum,science,4,8
sperm,science,4,8
amplitude,science,4,7
aquifer,science,4,7
beaker,science,4,7
biomes,science,4,7
chloroplast,science,4,7
circulatory,science,4,7
electrician,science,4,7
fertilization,science,4,7
formation,science,4,7
humid,science,4,7
hybrid,science,4,7
mosquito,science,4,7
nucleus,science,4,7
petroleum,science,4,7
raindrop,science,4,7
vessel,science,4,7
anemometer,science,4,6
barometer,science,4,6
bond,science,4,6
capsule,science,4,6
chlorophyll,science,4,6
continental,science,4,6
dandelion,science,4,6
debris,science,4,6
ecology,science,4,6
electromagnetic,science,4,6
ellipse,science,4,6
explode,science,4,6
ferry,science,4,6
fiber,science,4,6
funnel,science,4,6
galaxy,science,4,6
greenhouse,science,4,6
hummingbird,science,4,6
insulate,science,4,6
lagoon,science,4,6
lichen,science,4,6
mammoth,science,4,6
mangrove,science,4,6
meadow,science,4,6
microorganism,science,4,6
muscular,science,4,6
opal,science,4,6
ovary,science,4,6
polyp,science,4,6
protist,science,4,6
refraction,science,4,6
respiratory,science,4,6
runoff,science,4,6
seep,science,4,6
shellfish,science,4,6
solvent,science,4,6
transparent,science,4,6
tsunami,science,4,6
vacuum,science,4,6
vane,science,4,6
volcanic,science,4,6
abiotic,science,4,5
anther,science,4,5
clam,science,4,5
convex,science,4,5
ecologist,science,4,5
filament,science,4,5
geothermal,science,4,5
hydrogen,science,4,5
iceberg,science,4,5
immune,science,4,5
inertia,science,4,5
interdependent,science,4,5
laser,science,4,5
lightweight,science,4,5
meteor,science,4,5
molecule,science,4,5
molten,science,4,5
nuclear,science,4,5
opaque,science,4,5
pathogenic,science,4,5
pellet,science,4,5
permeability,science,4,5
pore,science,4,5
python,science,4,5
reproduction,science,4,5
salmon,science,4,5
shrub,science,4,5
spinal,science,4,5
stimulus,science,4,5
taiga,science,4,5
technician,science,4,5
alloy,science,4,4
anthill,science,4,4
biotic,science,4,4
bog,science,4,4
chemically,science,4,4
chlorine,science,4,4
cirrus,science,4,4
concave,science,4,4
cork,science,4,4
crest,science,4,4
cypress,science,4,4
digest,science,4,4
dormant,science,4,4
exoskeleton,science,4,4
filtration,science,4,4
heredity,science,4,4
insulation,science,4,4
jackrabbit,science,4,4
lightbulb,science,4,4
litmus,science,4,4
magnitude,science,4,4
metallic,science,4,4
milky,science,4,4
movable,science,4,4
mussel,science,4,4
neuron,science,4,4
nitrogen,science,4,4
octopus,science,4,4
outlet,science,4,4
oyster,science,4,4
parasite,science,4,4
pendulum,science,4,4
pesticide,science,4,4
phosphate,science,4,4
rover,science,4,4
scavenge,science,4,4
seismic,science,4,4
seismograph,science,4,4
sepal,science,4,4
shoreline,science,4,4
slab,science,4,4
solubility,science,4,4
solute,science,4,4
swarm,science,4,4
temperate,science,4,4
tentacle,science,4,4
terrace,science,4,4
translucent,science,4,4
tropism,science,4,4
collide,science,4,3
cumulus,science,4,3
fibrous,science,4,3
hailstone,science,4,3
incandescent,science,4,3
involuntary,science,4,3
mealworm,science,4,3
milligram,science,4,3
organic,science,4,3
strait,science,4,3
taproot,science,4,3
theory,science,4,3
