version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 9-12,domains: science

Word,Domain,Grade,Grade 9-12 Frequency
mol,science,9-12,354
molar,science,9-12,258
angular,science,9-12,204
configuration,science,9-12,200
induce,science,9-12,187
aqueous,science,9-12,183
oxidize,science,9-12,162
redox,science,9-12,129
torque,science,9-12,124
entropy,science,9-12,112
productivity,science,9-12,107
gamete,science,9-12,106
alkane,science,9-12,103
quantum,science,9-12,103
disperse,science,9-12,99
ionization,science,9-12,98
sublevel,science,9-12,97
buffer,science,9-12,96
cathode,science,9-12,96
induction,science,9-12,96
enthalpy,science,9-12,95
capacitor,science,9-12,94
anion,science,9-12,92
cation,science,9-12,91
fringe,science,9-12,91
soluble,science,9-12,91
ionize,science,9-12,87
molarity,science,9-12,81
isomers,science,9-12,79
grate,science,9-12,76
sucrose,science,9-12,76
harmonic,science,9-12,75
spectra,science,9-12,73
secrete,science,9-12,72
glycolysis,science,9-12,70
hydrate,science,9-12,69
interstellar,science,9-12,69
acetic,science,9-12,67
ammonium,science,9-12,67
relativity,science,9-12,67
stabilize,science,9-12,67
polymerase,science,9-12,66
regulatory,science,9-12,66
subatomic,science,9-12,62
electronegativity,science,9-12,60
nucleon,science,9-12,59
sporophyte,science,9-12,59
aggregate,science,9-12,58
quark,science,9-12,58
deplete,science,9-12,57
electrolysis,science,9-12,57
polarity,science,9-12,56
radioisotope,science,9-12,56
cladogram,science,9-12,55
titration,science,9-12,54
barium,science,9-12,53
stellar,science,9-12,53
fluoride,science,9-12,52
forensic,science,9-12,51
positron,science,9-12,51
stewardship,science,9-12,51
benzene,science,9-12,50
chromium,science,9-12,50
manganese,science,9-12,50
adaptive,science,9-12,49
silicate,science,9-12,49
specialization,science,9-12,48
octet,science,9-12,47
oscillate,science,9-12,47
lineage,science,9-12,46
bombard,science,9-12,45
curvature,science,9-12,45
lattice,science,9-12,45
spontaneously,science,9-12,45
arsenic,science,9-12,44
calorimeter,science,9-12,44
octave,science,9-12,44
steroid,science,9-12,44
desalination,science,9-12,43
meristem,science,9-12,43
metabolic,science,9-12,43
thylakoid,science,9-12,43
alkyl,science,9-12,42
nitric,science,9-12,42
tangential,science,9-12,42
vesicle,science,9-12,42
flux,science,9-12,41
photoelectric,science,9-12,41
colloidal,science,9-12,40
drainage,science,9-12,40
halo,science,9-12,40
immerse,science,9-12,40
insoluble,science,9-12,40
iodide,science,9-12,40
parasitic,science,9-12,40
colloid,science,9-12,39
diversify,science,9-12,39
geological,science,9-12,39
lactic,science,9-12,39
modification,science,9-12,39
substrate,science,9-12,39
corrosion,science,9-12,38
neutralize,science,9-12,38
reversible,science,9-12,38
typhoon,science,9-12,38
uniformly,science,9-12,38
anterior,science,9-12,37
electrostatic,science,9-12,37
elongate,science,9-12,37
phospholipid,science,9-12,37
recombinant,science,9-12,37
amine,science,9-12,36
dissociate,science,9-12,36
methyl,science,9-12,36
peptide,science,9-12,36
speciation,science,9-12,36
aromatic,science,9-12,35
deform,science,9-12,35
embryonic,science,9-12,35
impurity,science,9-12,35
weld,science,9-12,35
bromide,science,9-12,34
capacitance,science,9-12,34
clade,science,9-12,34
coulomb,science,9-12,34
electrolytic,science,9-12,34
ether,science,9-12,34
globular,science,9-12,34
phytoplankton,science,9-12,34
polypeptide,science,9-12,34
quasar,science,9-12,34
accumulation,science,9-12,33
climatic,science,9-12,33
cortex,science,9-12,33
dissociation,science,9-12,33
intermolecular,science,9-12,33
polarization,science,9-12,33
porous,science,9-12,33
strontium,science,9-12,33
transmutation,science,9-12,33
ammeter,science,9-12,32
cyanobacteria,science,9-12,32
differentiation,science,9-12,32
eccentricity,science,9-12,32
ethylene,science,9-12,32
inhibit,science,9-12,32
operon,science,9-12,32
accelerator,science,9-12,31
adenine,science,9-12,31
nitrogenous,science,9-12,31
polonium,science,9-12,31
spindle,science,9-12,31
supplemental,science,9-12,31
tempest,science,9-12,31
thane,science,9-12,31
acetate,science,9-12,30
biochemical,science,9-12,30
carboxylic,science,9-12,30
coli,science,9-12,30
diatomic,science,9-12,30
photosystem,science,9-12,30
repulsion,science,9-12,30
supersaturated,science,9-12,30
theorize,science,9-12,30
voltmeter,science,9-12,30
adiabatic,science,9-12,29
dipole,science,9-12,29
dissipate,science,9-12,29
ingest,science,9-12,29
mesoderm,science,9-12,29
negligible,science,9-12,29
neurotransmitt,science,9-12,29
nodule,science,9-12,29
radiometric,science,9-12,29
schematic,science,9-12,29
aldehyde,science,9-12,28
amniote,science,9-12,28
ecliptic,science,9-12,28
electronegative,science,9-12,28
hydroxyl,science,9-12,28
leach,science,9-12,28
methanol,science,9-12,28
monosaccharide,science,9-12,28
phylogenetic,science,9-12,28
planetesimal,science,9-12,28
polysaccharide,science,9-12,28
radium,science,9-12,28
recharge,science,9-12,28
template,science,9-12,28
thymine,science,9-12,28
transcribe,science,9-12,28
aberration,science,9-12,27
anaerobic,science,9-12,27
chemlab,science,9-12,27
citric,science,9-12,27
cotyledon,science,9-12,27
germination,science,9-12,27
metamorphism,science,9-12,27
posterior,science,9-12,27
spectrometer,science,9-12,27
volatile,science,9-12,27
aperture,science,9-12,26
apical,science,9-12,26
dissect,science,9-12,26
germanium,science,9-12,26
hound,science,9-12,26
lactose,science,9-12,26
moraine,science,9-12,26
nocturnal,science,9-12,26
oppositely,science,9-12,26
pipet,science,9-12,26
sickle,science,9-12,26
aerosol,science,9-12,25
analogous,science,9-12,25
carboxyl,science,9-12,25
detritus,science,9-12,25
ethane,science,9-12,25
forestry,science,9-12,25
herbicide,science,9-12,25
mortar,science,9-12,25
stoichiometry,science,9-12,25
titanium,science,9-12,25
transgenic,science,9-12,25
albatross,science,9-12,24
allergen,science,9-12,24
bauxite,science,9-12,24
covalently,science,9-12,24
ethyl,science,9-12,24
lac,science,9-12,24
leech,science,9-12,24
mammalian,science,9-12,24
microgravity,science,9-12,24
microtubule,science,9-12,24
regenerate,science,9-12,24
replenish,science,9-12,24
reversal,science,9-12,24
albedo,science,9-12,23
butane,science,9-12,23
coolant,science,9-12,23
diffract,science,9-12,23
fungal,science,9-12,23
hydrolysis,science,9-12,23
lobe,science,9-12,23
parenchyma,science,9-12,23
pipette,science,9-12,23
polyethylene,science,9-12,23
prion,science,9-12,23
pyruvic,science,9-12,23
saturation,science,9-12,23
secretion,science,9-12,23
soot,science,9-12,23
spawn,science,9-12,23
taxonomic,science,9-12,23
tungsten,science,9-12,23
undesirable,science,9-12,23
actin,science,9-12,22
adrenal,science,9-12,22
alteration,science,9-12,22
alternation,science,9-12,22
aquaculture,science,9-12,22
biofuel,science,9-12,22
clone,science,9-12,22
convergence,science,9-12,22
diesel,science,9-12,22
ecotourism,science,9-12,22
ester,science,9-12,22
extraction,science,9-12,22
follicle,science,9-12,22
galactic,science,9-12,22
globally,science,9-12,22
mesophyll,science,9-12,22
mirage,science,9-12,22
mitochondrial,science,9-12,22
overgrazing,science,9-12,22
regolith,science,9-12,22
sludge,science,9-12,22
subduct,science,9-12,22
acceptor,science,9-12,21
cadmium,science,9-12,21
cartilaginous,science,9-12,21
chitin,science,9-12,21
crayfish,science,9-12,21
cytosine,science,9-12,21
daffodil,science,9-12,21
deflection,science,9-12,21
deuterostome,science,9-12,21
disintegrate,science,9-12,21
dormancy,science,9-12,21
environmentally,science,9-12,21
experimentally,science,9-12,21
guanine,science,9-12,21
neural,science,9-12,21
quantized,science,9-12,21
alignment,science,9-12,20
alkyne,science,9-12,20
arachnid,science,9-12,20
aroma,science,9-12,20
autonomic,science,9-12,20
beryllium,science,9-12,20
capsid,science,9-12,20
carbonyl,science,9-12,20
cesium,science,9-12,20
dependency,science,9-12,20
ductile,science,9-12,20
ectotherm,science,9-12,20
ejecta,science,9-12,20
electroscope,science,9-12,20
fleshy,science,9-12,20
floodplain,science,9-12,20
gallium,science,9-12,20
glycerol,science,9-12,20
inert,science,9-12,20
insecticide,science,9-12,20
magenta,science,9-12,20
nourishment,science,9-12,20
perennial,science,9-12,20
polygenic,science,9-12,20
retrogradations,science,9-12,20
sheath,science,9-12,20
substituent,science,9-12,20
subunit,science,9-12,20
swab,science,9-12,20
thermochemical,science,9-12,20
trajectory,science,9-12,20
triglyceride,science,9-12,20
allergic,science,9-12,19
breccia,science,9-12,19
buckyball,science,9-12,19
cambium,science,9-12,19
catalytic,science,9-12,19
chromatography,science,9-12,19
dope,science,9-12,19
effusion,science,9-12,19
emerald,science,9-12,19
estrogen,science,9-12,19
ethyne,science,9-12,19
eyelid,science,9-12,19
fetal,science,9-12,19
fructose,science,9-12,19
hybridization,science,9-12,19
interbreed,science,9-12,19
intron,science,9-12,19
karyotype,science,9-12,19
lamprey,science,9-12,19
legume,science,9-12,19
macroscopic,science,9-12,19
nonmetallic,science,9-12,19
optics,science,9-12,19
